SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532922,EDELWEISS   ,A ,Q,76.84,79.99,76.43,77.93,77.93,76.6,12712,916498,71861933,
532923,RGL         ,B ,Q,109.75,115.5,109.1,113.95,113.7,108.9,1061,60944,6919453,
532924,KOLTEPATIL  ,B ,Q,561.95,568.6,548.95,553.45,551.45,556.95,1859,36199,20237953,
532926,JYOTHYLAB   ,A ,Q,503.55,513.05,503,505.7,505.3,499,625,16040,8158394,
532927,ECLERX      ,A ,Q,2686.85,2822.95,2634.15,2710.25,2718.05,2634.15,2432,15466,42668808,
532928,TRIL        ,B ,Q,271.3,272,262.5,268.6,268.6,267.8,4170,247864,66801455,
532929,BRIGADE     ,A ,Q,951,974.9,937.15,971.7,971.7,943.35,2277,26875,25881860,
532930,BGR ENERGY  ,B ,Q,90.83,92.12,90.56,91.63,91.05,90.63,999,82236,7516527,
532931,BURNPUR     ,T ,Q,6.66,6.73,6.66,6.73,6.73,6.6,70,102757,689613,
532932,MANAKSIA LTD,B ,Q,137,138,135.45,135.7,136.35,137.1,795,35792,4892605,
532933,PORWAL AUTO ,X ,Q,44.51,44.51,43.2,43.44,43.2,44.51,73,27235,1195046,
532934,PPAP        ,B ,Q,269,269,253,255.6,253.15,258.8,550,7766,1990157,
532935,ARIES AGRO  ,B ,Q,207.3,223.45,207.3,216.85,216.85,211.05,1223,41435,9054165,
532937,KUANTUM     ,B ,Q,176.7,176.75,173.7,174.6,174.95,175.2,190,4254,743724,
532939,RPOWER      ,A ,Q,31.21,31.34,30.5,30.89,30.89,31.1,25120,7794151,240820653,
532940,J KUMAR INFR,A ,Q,584.4,584.4,575.55,576.95,576.95,578.9,481,7563,4371127,
532941,CORDS CABLE ,B ,Q,118.1,120,115.45,116.5,117.05,117.85,358,11295,1328056,
532942,KNR CONST   ,A ,Q,263.05,265,260.35,261.8,261.8,262.8,2304,74968,19717082,
532944,ONMOBILE    ,B ,Q,119.05,122,117.55,118.55,118.55,117.2,3059,267500,32061158,
532945,SEPC        ,B ,Q,23.57,23.99,23.3,23.51,23.51,23.48,3449,2099046,49672057,
532946,BANG        ,T ,Q,58.75,61.38,57.6,61.38,61.38,58.46,105,53727,3206751,
532947,IRB INFRA   ,A ,Q,46.59,46.9,45.86,46.03,46.03,46.11,9627,3247637,150239964,
532951,GSS INFOTECH,B ,Q,186,195,184.5,185.65,185.25,185.65,1254,15943,3040755,
532952,NAHAR CAP   ,B ,Q,315,315,310.8,312.2,312.2,316.35,63,544,170212,
532953,V GUARD IND ,A ,Q,296.85,296.85,293.3,293.9,293.5,295.55,756,19616,5782324,
532955,RECLTD      ,A ,Q,425.9,429.75,418.5,428.75,428.75,422.85,3524,349870,148227418,
532957,GOKAK TEXTI ,XT,Q,116.24,116.24,116.24,116.24,116.24,110.71,23,1610,187146,
532960,DHANI       ,A ,Q,41.3,42.3,41.05,41.36,41.36,40.91,1349,228831,9525920,
532966,TITAGARH    ,A ,Q,1087.45,1089.85,1042.95,1048.4,1048.4,1064.9,5667,122434,129379428,
532967,KIRI DYES   ,A ,Q,404.05,420,400.5,416.55,416.55,403.2,540,9304,3828102,
532974,ABML        ,B ,Q,126.45,148.35,125.05,139.75,139.75,126.3,15134,1212723,169143822,
532976,JAIBALA IND ,T ,Q,875,957.4,875,942.05,942.05,911.85,810,41186,38838503,
532977,BAJAJ AUTO  ,A ,Q,7374.95,7374.95,7252.65,7300.2,7300.2,7294.5,6483,20856,152136023,
532978,BAJAJ FINSE ,A ,Q,1679.2,1679.2,1642.05,1651.65,1651.65,1669.25,9211,75256,124376322,
532980,GOKUL REFOIL,B ,Q,59.35,59.65,57,57.67,57.1,59.28,1126,54761,3196968,
532983,RPG LIFESCI ,B ,Q,1418.4,1434.55,1402.9,1413.6,1413.6,1405.55,98,1417,2007396,
